[2024-08-22 17:56:58,596]::3184030073::DEBUG::=============15framesfullshot+Video Vision Transformer Strat!=============
[2024-08-22 18:00:39,621]::1387131020::DEBUG::Epoch: 1 , 1-MAE: 0.8567 , 1-val_avg_o_loss:0.8795 , 1-val_avg_c_loss:0.8636 , 1-val_avg_e_loss:0.8526 , 1-val_avg_a_loss:0.8828 , 1-val_avg_n_loss:0.8051
[2024-08-22 18:03:53,506]::1387131020::DEBUG::Epoch: 2 , 1-MAE: 0.8681 , 1-val_avg_o_loss:0.8813 , 1-val_avg_c_loss:0.8765 , 1-val_avg_e_loss:0.8557 , 1-val_avg_a_loss:0.8910 , 1-val_avg_n_loss:0.8362
[2024-08-22 18:07:06,219]::1387131020::DEBUG::Epoch: 3 , 1-MAE: 0.8619 , 1-val_avg_o_loss:0.8670 , 1-val_avg_c_loss:0.8702 , 1-val_avg_e_loss:0.8504 , 1-val_avg_a_loss:0.8888 , 1-val_avg_n_loss:0.8332
[2024-08-22 18:10:18,624]::1387131020::DEBUG::Epoch: 4 , 1-MAE: 0.8627 , 1-val_avg_o_loss:0.8739 , 1-val_avg_c_loss:0.8678 , 1-val_avg_e_loss:0.8421 , 1-val_avg_a_loss:0.8906 , 1-val_avg_n_loss:0.8392
[2024-08-22 18:13:31,304]::1387131020::DEBUG::Epoch: 5 , 1-MAE: 0.8621 , 1-val_avg_o_loss:0.8683 , 1-val_avg_c_loss:0.8708 , 1-val_avg_e_loss:0.8461 , 1-val_avg_a_loss:0.8955 , 1-val_avg_n_loss:0.8297
[2024-08-22 18:16:44,024]::1387131020::DEBUG::Epoch: 6 , 1-MAE: 0.8610 , 1-val_avg_o_loss:0.8728 , 1-val_avg_c_loss:0.8795 , 1-val_avg_e_loss:0.8395 , 1-val_avg_a_loss:0.8812 , 1-val_avg_n_loss:0.8321
[2024-08-22 18:19:57,276]::1387131020::DEBUG::Epoch: 7 , 1-MAE: 0.8649 , 1-val_avg_o_loss:0.8770 , 1-val_avg_c_loss:0.8743 , 1-val_avg_e_loss:0.8417 , 1-val_avg_a_loss:0.8888 , 1-val_avg_n_loss:0.8428
[2024-08-22 18:23:09,907]::1387131020::DEBUG::Epoch: 8 , 1-MAE: 0.8616 , 1-val_avg_o_loss:0.8695 , 1-val_avg_c_loss:0.8765 , 1-val_avg_e_loss:0.8426 , 1-val_avg_a_loss:0.8890 , 1-val_avg_n_loss:0.8304
[2024-08-22 18:26:22,874]::1387131020::DEBUG::Epoch: 9 , 1-MAE: 0.8592 , 1-val_avg_o_loss:0.8683 , 1-val_avg_c_loss:0.8693 , 1-val_avg_e_loss:0.8446 , 1-val_avg_a_loss:0.8825 , 1-val_avg_n_loss:0.8315
[2024-08-22 18:29:35,704]::1387131020::DEBUG::Epoch: 10 , 1-MAE: 0.8565 , 1-val_avg_o_loss:0.8715 , 1-val_avg_c_loss:0.8635 , 1-val_avg_e_loss:0.8409 , 1-val_avg_a_loss:0.8793 , 1-val_avg_n_loss:0.8273
[2024-08-22 18:32:48,722]::1387131020::DEBUG::Epoch: 11 , 1-MAE: 0.8626 , 1-val_avg_o_loss:0.8724 , 1-val_avg_c_loss:0.8755 , 1-val_avg_e_loss:0.8459 , 1-val_avg_a_loss:0.8849 , 1-val_avg_n_loss:0.8343
[2024-08-22 18:36:01,562]::1387131020::DEBUG::Epoch: 12 , 1-MAE: 0.8594 , 1-val_avg_o_loss:0.8725 , 1-val_avg_c_loss:0.8665 , 1-val_avg_e_loss:0.8434 , 1-val_avg_a_loss:0.8842 , 1-val_avg_n_loss:0.8307
[2024-08-22 18:39:14,045]::1387131020::DEBUG::Epoch: 13 , 1-MAE: 0.8586 , 1-val_avg_o_loss:0.8718 , 1-val_avg_c_loss:0.8667 , 1-val_avg_e_loss:0.8415 , 1-val_avg_a_loss:0.8798 , 1-val_avg_n_loss:0.8331
[2024-08-22 18:42:26,462]::1387131020::DEBUG::Epoch: 14 , 1-MAE: 0.8596 , 1-val_avg_o_loss:0.8719 , 1-val_avg_c_loss:0.8622 , 1-val_avg_e_loss:0.8445 , 1-val_avg_a_loss:0.8844 , 1-val_avg_n_loss:0.8353
[2024-08-22 18:45:38,552]::1387131020::DEBUG::Epoch: 15 , 1-MAE: 0.8574 , 1-val_avg_o_loss:0.8709 , 1-val_avg_c_loss:0.8631 , 1-val_avg_e_loss:0.8410 , 1-val_avg_a_loss:0.8812 , 1-val_avg_n_loss:0.8309
[2024-08-22 18:48:50,834]::1387131020::DEBUG::Epoch: 16 , 1-MAE: 0.8591 , 1-val_avg_o_loss:0.8705 , 1-val_avg_c_loss:0.8592 , 1-val_avg_e_loss:0.8448 , 1-val_avg_a_loss:0.8873 , 1-val_avg_n_loss:0.8338
[2024-08-22 18:52:03,200]::1387131020::DEBUG::Epoch: 17 , 1-MAE: 0.8587 , 1-val_avg_o_loss:0.8718 , 1-val_avg_c_loss:0.8691 , 1-val_avg_e_loss:0.8417 , 1-val_avg_a_loss:0.8821 , 1-val_avg_n_loss:0.8285
[2024-08-22 18:55:15,805]::1387131020::DEBUG::Epoch: 18 , 1-MAE: 0.8609 , 1-val_avg_o_loss:0.8722 , 1-val_avg_c_loss:0.8664 , 1-val_avg_e_loss:0.8381 , 1-val_avg_a_loss:0.8890 , 1-val_avg_n_loss:0.8387
[2024-08-22 18:58:28,957]::1387131020::DEBUG::Epoch: 19 , 1-MAE: 0.8588 , 1-val_avg_o_loss:0.8696 , 1-val_avg_c_loss:0.8652 , 1-val_avg_e_loss:0.8368 , 1-val_avg_a_loss:0.8876 , 1-val_avg_n_loss:0.8352
[2024-08-22 19:01:41,282]::1387131020::DEBUG::Epoch: 20 , 1-MAE: 0.8585 , 1-val_avg_o_loss:0.8687 , 1-val_avg_c_loss:0.8644 , 1-val_avg_e_loss:0.8425 , 1-val_avg_a_loss:0.8867 , 1-val_avg_n_loss:0.8301
[2024-08-22 19:04:53,960]::1387131020::DEBUG::Epoch: 21 , 1-MAE: 0.8544 , 1-val_avg_o_loss:0.8680 , 1-val_avg_c_loss:0.8621 , 1-val_avg_e_loss:0.8382 , 1-val_avg_a_loss:0.8751 , 1-val_avg_n_loss:0.8286
