[2024-06-12 16:55:01,181]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 16:58:09,198]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:01:31,414]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:02:22,497]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:17:03,097]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:22:49,331]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:25:07,996]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:26:23,298]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:31:05,751]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:32:32,146]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:36:36,630]::3493104939::DEBUG::=============fullshot+Video Vision Transformer Strat!=============
[2024-06-12 17:40:36,280]::3493104939::DEBUG::=============fullshot+R2plus1D 4Layer+Video Vision Transformer Strat!=============
[2024-06-12 17:46:06,788]::3799835291::DEBUG::Epoch: 1 , 1-MAE: 0.8999 , 1-val_avg_o_loss:0.9000 , 1-val_avg_c_loss:0.8917 , 1-val_avg_e_loss:0.9075 , 1-val_avg_a_loss:0.8987 , 1-val_avg_n_loss:0.9015
[2024-06-12 17:51:28,421]::3799835291::DEBUG::Epoch: 2 , 1-MAE: 0.8984 , 1-val_avg_o_loss:0.9020 , 1-val_avg_c_loss:0.8949 , 1-val_avg_e_loss:0.8956 , 1-val_avg_a_loss:0.8950 , 1-val_avg_n_loss:0.9045
[2024-06-12 17:56:51,445]::3799835291::DEBUG::Epoch: 3 , 1-MAE: 0.9051 , 1-val_avg_o_loss:0.9009 , 1-val_avg_c_loss:0.9015 , 1-val_avg_e_loss:0.9113 , 1-val_avg_a_loss:0.9077 , 1-val_avg_n_loss:0.9042
[2024-06-12 18:02:13,616]::3799835291::DEBUG::Epoch: 4 , 1-MAE: 0.9100 , 1-val_avg_o_loss:0.9128 , 1-val_avg_c_loss:0.9070 , 1-val_avg_e_loss:0.9144 , 1-val_avg_a_loss:0.9102 , 1-val_avg_n_loss:0.9054
[2024-06-12 18:07:34,951]::3799835291::DEBUG::Epoch: 5 , 1-MAE: 0.9116 , 1-val_avg_o_loss:0.9118 , 1-val_avg_c_loss:0.9085 , 1-val_avg_e_loss:0.9145 , 1-val_avg_a_loss:0.9130 , 1-val_avg_n_loss:0.9101
[2024-06-12 18:12:56,358]::3799835291::DEBUG::Epoch: 6 , 1-MAE: 0.9114 , 1-val_avg_o_loss:0.9141 , 1-val_avg_c_loss:0.9049 , 1-val_avg_e_loss:0.9119 , 1-val_avg_a_loss:0.9136 , 1-val_avg_n_loss:0.9123
[2024-06-12 18:18:18,271]::3799835291::DEBUG::Epoch: 7 , 1-MAE: 0.9086 , 1-val_avg_o_loss:0.9134 , 1-val_avg_c_loss:0.9055 , 1-val_avg_e_loss:0.9164 , 1-val_avg_a_loss:0.9160 , 1-val_avg_n_loss:0.8919
[2024-06-12 18:23:40,165]::3799835291::DEBUG::Epoch: 8 , 1-MAE: 0.9056 , 1-val_avg_o_loss:0.9070 , 1-val_avg_c_loss:0.8859 , 1-val_avg_e_loss:0.9126 , 1-val_avg_a_loss:0.9136 , 1-val_avg_n_loss:0.9088
[2024-06-12 18:29:02,755]::3799835291::DEBUG::Epoch: 9 , 1-MAE: 0.9116 , 1-val_avg_o_loss:0.9141 , 1-val_avg_c_loss:0.9098 , 1-val_avg_e_loss:0.9151 , 1-val_avg_a_loss:0.9104 , 1-val_avg_n_loss:0.9085
[2024-06-12 18:34:25,985]::3799835291::DEBUG::Epoch: 10 , 1-MAE: 0.9121 , 1-val_avg_o_loss:0.9124 , 1-val_avg_c_loss:0.9102 , 1-val_avg_e_loss:0.9130 , 1-val_avg_a_loss:0.9159 , 1-val_avg_n_loss:0.9090
[2024-06-12 18:39:48,191]::3799835291::DEBUG::Epoch: 11 , 1-MAE: 0.9126 , 1-val_avg_o_loss:0.9152 , 1-val_avg_c_loss:0.9086 , 1-val_avg_e_loss:0.9134 , 1-val_avg_a_loss:0.9136 , 1-val_avg_n_loss:0.9120
[2024-06-12 18:45:09,863]::3799835291::DEBUG::Epoch: 12 , 1-MAE: 0.9083 , 1-val_avg_o_loss:0.9094 , 1-val_avg_c_loss:0.9065 , 1-val_avg_e_loss:0.9142 , 1-val_avg_a_loss:0.9110 , 1-val_avg_n_loss:0.9004
[2024-06-12 18:50:31,812]::3799835291::DEBUG::Epoch: 13 , 1-MAE: 0.9134 , 1-val_avg_o_loss:0.9150 , 1-val_avg_c_loss:0.9096 , 1-val_avg_e_loss:0.9154 , 1-val_avg_a_loss:0.9155 , 1-val_avg_n_loss:0.9116
[2024-06-12 18:55:53,609]::3799835291::DEBUG::Epoch: 14 , 1-MAE: 0.9126 , 1-val_avg_o_loss:0.9139 , 1-val_avg_c_loss:0.9077 , 1-val_avg_e_loss:0.9138 , 1-val_avg_a_loss:0.9165 , 1-val_avg_n_loss:0.9110
[2024-06-12 19:01:15,433]::3799835291::DEBUG::Epoch: 15 , 1-MAE: 0.9122 , 1-val_avg_o_loss:0.9151 , 1-val_avg_c_loss:0.9089 , 1-val_avg_e_loss:0.9129 , 1-val_avg_a_loss:0.9144 , 1-val_avg_n_loss:0.9099
[2024-06-12 19:06:37,487]::3799835291::DEBUG::Epoch: 16 , 1-MAE: 0.9128 , 1-val_avg_o_loss:0.9157 , 1-val_avg_c_loss:0.9086 , 1-val_avg_e_loss:0.9143 , 1-val_avg_a_loss:0.9160 , 1-val_avg_n_loss:0.9095
[2024-06-12 19:11:59,841]::3799835291::DEBUG::Epoch: 17 , 1-MAE: 0.9133 , 1-val_avg_o_loss:0.9160 , 1-val_avg_c_loss:0.9103 , 1-val_avg_e_loss:0.9134 , 1-val_avg_a_loss:0.9155 , 1-val_avg_n_loss:0.9113
[2024-06-12 19:17:21,541]::3799835291::DEBUG::Epoch: 18 , 1-MAE: 0.9134 , 1-val_avg_o_loss:0.9148 , 1-val_avg_c_loss:0.9083 , 1-val_avg_e_loss:0.9158 , 1-val_avg_a_loss:0.9171 , 1-val_avg_n_loss:0.9109
[2024-06-12 19:22:43,050]::3799835291::DEBUG::Epoch: 19 , 1-MAE: 0.9122 , 1-val_avg_o_loss:0.9155 , 1-val_avg_c_loss:0.9110 , 1-val_avg_e_loss:0.9117 , 1-val_avg_a_loss:0.9163 , 1-val_avg_n_loss:0.9064
