
[2024-06-24 18:07:48,261]::2730006395::DEBUG::=============fullshot+R2plus1D 3 Layer+2D Video Vision Transformer Strat!=============
[2024-06-24 18:13:27,658]::130357557::DEBUG::Epoch: 1 , 1-MAE: 0.8886 , 1-val_avg_o_loss:0.8852 , 1-val_avg_c_loss:0.8797 , 1-val_avg_e_loss:0.9039 , 1-val_avg_a_loss:0.8975 , 1-val_avg_n_loss:0.8767
[2024-06-24 18:18:56,543]::130357557::DEBUG::Epoch: 2 , 1-MAE: 0.9044 , 1-val_avg_o_loss:0.9051 , 1-val_avg_c_loss:0.9010 , 1-val_avg_e_loss:0.9120 , 1-val_avg_a_loss:0.9043 , 1-val_avg_n_loss:0.8996
[2024-06-24 18:24:26,221]::130357557::DEBUG::Epoch: 3 , 1-MAE: 0.9089 , 1-val_avg_o_loss:0.9112 , 1-val_avg_c_loss:0.9010 , 1-val_avg_e_loss:0.9136 , 1-val_avg_a_loss:0.9081 , 1-val_avg_n_loss:0.9105
[2024-06-24 18:29:54,303]::130357557::DEBUG::Epoch: 4 , 1-MAE: 0.9042 , 1-val_avg_o_loss:0.9140 , 1-val_avg_c_loss:0.9007 , 1-val_avg_e_loss:0.9067 , 1-val_avg_a_loss:0.9060 , 1-val_avg_n_loss:0.8936
[2024-06-24 18:35:23,619]::130357557::DEBUG::Epoch: 5 , 1-MAE: 0.9138 , 1-val_avg_o_loss:0.9167 , 1-val_avg_c_loss:0.9091 , 1-val_avg_e_loss:0.9162 , 1-val_avg_a_loss:0.9146 , 1-val_avg_n_loss:0.9123
[2024-06-24 18:40:51,739]::130357557::DEBUG::Epoch: 6 , 1-MAE: 0.9115 , 1-val_avg_o_loss:0.9168 , 1-val_avg_c_loss:0.9004 , 1-val_avg_e_loss:0.9156 , 1-val_avg_a_loss:0.9100 , 1-val_avg_n_loss:0.9149
[2024-06-24 18:46:20,085]::130357557::DEBUG::Epoch: 7 , 1-MAE: 0.9130 , 1-val_avg_o_loss:0.9154 , 1-val_avg_c_loss:0.9058 , 1-val_avg_e_loss:0.9148 , 1-val_avg_a_loss:0.9161 , 1-val_avg_n_loss:0.9130
[2024-06-24 18:51:49,058]::130357557::DEBUG::Epoch: 8 , 1-MAE: 0.9119 , 1-val_avg_o_loss:0.9111 , 1-val_avg_c_loss:0.9086 , 1-val_avg_e_loss:0.9151 , 1-val_avg_a_loss:0.9173 , 1-val_avg_n_loss:0.9075
[2024-06-24 18:57:18,086]::130357557::DEBUG::Epoch: 9 , 1-MAE: 0.9099 , 1-val_avg_o_loss:0.9079 , 1-val_avg_c_loss:0.9097 , 1-val_avg_e_loss:0.9092 , 1-val_avg_a_loss:0.9149 , 1-val_avg_n_loss:0.9078
[2024-06-24 19:02:47,143]::130357557::DEBUG::Epoch: 10 , 1-MAE: 0.9144 , 1-val_avg_o_loss:0.9171 , 1-val_avg_c_loss:0.9126 , 1-val_avg_e_loss:0.9113 , 1-val_avg_a_loss:0.9168 , 1-val_avg_n_loss:0.9143
[2024-06-24 19:08:15,260]::130357557::DEBUG::Epoch: 11 , 1-MAE: 0.9116 , 1-val_avg_o_loss:0.9150 , 1-val_avg_c_loss:0.9014 , 1-val_avg_e_loss:0.9166 , 1-val_avg_a_loss:0.9151 , 1-val_avg_n_loss:0.9100
[2024-06-24 19:13:44,669]::130357557::DEBUG::Epoch: 12 , 1-MAE: 0.9152 , 1-val_avg_o_loss:0.9175 , 1-val_avg_c_loss:0.9089 , 1-val_avg_e_loss:0.9167 , 1-val_avg_a_loss:0.9176 , 1-val_avg_n_loss:0.9153
[2024-06-24 19:19:13,112]::130357557::DEBUG::Epoch: 13 , 1-MAE: 0.9120 , 1-val_avg_o_loss:0.9164 , 1-val_avg_c_loss:0.9108 , 1-val_avg_e_loss:0.9160 , 1-val_avg_a_loss:0.9171 , 1-val_avg_n_loss:0.8997
[2024-06-24 19:24:41,591]::130357557::DEBUG::Epoch: 14 , 1-MAE: 0.9132 , 1-val_avg_o_loss:0.9135 , 1-val_avg_c_loss:0.9070 , 1-val_avg_e_loss:0.9162 , 1-val_avg_a_loss:0.9166 , 1-val_avg_n_loss:0.9128
[2024-06-24 19:30:10,256]::130357557::DEBUG::Epoch: 15 , 1-MAE: 0.9133 , 1-val_avg_o_loss:0.9171 , 1-val_avg_c_loss:0.9048 , 1-val_avg_e_loss:0.9152 , 1-val_avg_a_loss:0.9153 , 1-val_avg_n_loss:0.9142
[2024-06-24 19:35:38,192]::130357557::DEBUG::Epoch: 16 , 1-MAE: 0.9127 , 1-val_avg_o_loss:0.9165 , 1-val_avg_c_loss:0.9108 , 1-val_avg_e_loss:0.9122 , 1-val_avg_a_loss:0.9175 , 1-val_avg_n_loss:0.9066
[2024-06-24 19:41:06,757]::130357557::DEBUG::Epoch: 17 , 1-MAE: 0.9132 , 1-val_avg_o_loss:0.9183 , 1-val_avg_c_loss:0.9078 , 1-val_avg_e_loss:0.9126 , 1-val_avg_a_loss:0.9126 , 1-val_avg_n_loss:0.9147
[2024-06-24 19:46:35,245]::130357557::DEBUG::Epoch: 18 , 1-MAE: 0.9145 , 1-val_avg_o_loss:0.9145 , 1-val_avg_c_loss:0.9131 , 1-val_avg_e_loss:0.9145 , 1-val_avg_a_loss:0.9177 , 1-val_avg_n_loss:0.9128
[2024-06-24 19:52:04,093]::130357557::DEBUG::Epoch: 19 , 1-MAE: 0.9157 , 1-val_avg_o_loss:0.9172 , 1-val_avg_c_loss:0.9126 , 1-val_avg_e_loss:0.9162 , 1-val_avg_a_loss:0.9188 , 1-val_avg_n_loss:0.9136
[2024-06-24 19:57:32,109]::130357557::DEBUG::Epoch: 20 , 1-MAE: 0.9142 , 1-val_avg_o_loss:0.9158 , 1-val_avg_c_loss:0.9106 , 1-val_avg_e_loss:0.9161 , 1-val_avg_a_loss:0.9165 , 1-val_avg_n_loss:0.9120
[2024-06-24 20:03:00,539]::130357557::DEBUG::Epoch: 21 , 1-MAE: 0.9136 , 1-val_avg_o_loss:0.9171 , 1-val_avg_c_loss:0.9098 , 1-val_avg_e_loss:0.9088 , 1-val_avg_a_loss:0.9176 , 1-val_avg_n_loss:0.9147
[2024-06-24 20:08:29,562]::130357557::DEBUG::Epoch: 22 , 1-MAE: 0.9162 , 1-val_avg_o_loss:0.9182 , 1-val_avg_c_loss:0.9134 , 1-val_avg_e_loss:0.9161 , 1-val_avg_a_loss:0.9195 , 1-val_avg_n_loss:0.9140
[2024-06-24 20:13:58,023]::130357557::DEBUG::Epoch: 23 , 1-MAE: 0.9156 , 1-val_avg_o_loss:0.9166 , 1-val_avg_c_loss:0.9135 , 1-val_avg_e_loss:0.9163 , 1-val_avg_a_loss:0.9167 , 1-val_avg_n_loss:0.9148
[2024-06-24 20:19:26,492]::130357557::DEBUG::Epoch: 24 , 1-MAE: 0.9142 , 1-val_avg_o_loss:0.9158 , 1-val_avg_c_loss:0.9122 , 1-val_avg_e_loss:0.9123 , 1-val_avg_a_loss:0.9162 , 1-val_avg_n_loss:0.9145
[2024-06-24 20:24:54,696]::130357557::DEBUG::Epoch: 25 , 1-MAE: 0.9156 , 1-val_avg_o_loss:0.9169 , 1-val_avg_c_loss:0.9124 , 1-val_avg_e_loss:0.9161 , 1-val_avg_a_loss:0.9188 , 1-val_avg_n_loss:0.9139
[2024-06-24 20:30:23,203]::130357557::DEBUG::Epoch: 26 , 1-MAE: 0.9154 , 1-val_avg_o_loss:0.9168 , 1-val_avg_c_loss:0.9120 , 1-val_avg_e_loss:0.9172 , 1-val_avg_a_loss:0.9174 , 1-val_avg_n_loss:0.9138
[2024-06-24 20:35:52,263]::130357557::DEBUG::Epoch: 27 , 1-MAE: 0.9162 , 1-val_avg_o_loss:0.9177 , 1-val_avg_c_loss:0.9122 , 1-val_avg_e_loss:0.9173 , 1-val_avg_a_loss:0.9195 , 1-val_avg_n_loss:0.9142
[2024-06-24 20:41:21,365]::130357557::DEBUG::Epoch: 28 , 1-MAE: 0.9160 , 1-val_avg_o_loss:0.9177 , 1-val_avg_c_loss:0.9127 , 1-val_avg_e_loss:0.9169 , 1-val_avg_a_loss:0.9189 , 1-val_avg_n_loss:0.9139
[2024-06-24 20:46:50,671]::130357557::DEBUG::Epoch: 29 , 1-MAE: 0.9155 , 1-val_avg_o_loss:0.9192 , 1-val_avg_c_loss:0.9087 , 1-val_avg_e_loss:0.9163 , 1-val_avg_a_loss:0.9197 , 1-val_avg_n_loss:0.9134
