[2024-10-10 12:44:45,519]::2730006395::DEBUG::=============face_key_point+2D Video Vision Transformer Strat!=============
[2024-10-10 12:50:02,232]::3947538980::DEBUG::Epoch: 1 , 1-MAE: 0.7572 , 1-Training Loss: 0.7580 , 1-val_avg_o_loss:0.8075 , 1-val_avg_c_loss:0.7456 , 1-val_avg_e_loss:0.6835 , 1-val_avg_a_loss:0.8055 , 1-val_avg_n_loss:0.7441
[2024-10-10 12:55:16,568]::3947538980::DEBUG::Epoch: 2 , 1-MAE: 0.7762 , 1-Training Loss: 0.7596 , 1-val_avg_o_loss:0.7826 , 1-val_avg_c_loss:0.6802 , 1-val_avg_e_loss:0.8036 , 1-val_avg_a_loss:0.8066 , 1-val_avg_n_loss:0.8082
[2024-10-10 13:00:26,190]::3947538980::DEBUG::Epoch: 3 , 1-MAE: 0.7946 , 1-Training Loss: 0.7844 , 1-val_avg_o_loss:0.7351 , 1-val_avg_c_loss:0.7940 , 1-val_avg_e_loss:0.8104 , 1-val_avg_a_loss:0.8045 , 1-val_avg_n_loss:0.8288
[2024-10-10 13:05:40,796]::3947538980::DEBUG::Epoch: 4 , 1-MAE: 0.8203 , 1-Training Loss: 0.8055 , 1-val_avg_o_loss:0.8329 , 1-val_avg_c_loss:0.8066 , 1-val_avg_e_loss:0.8313 , 1-val_avg_a_loss:0.8246 , 1-val_avg_n_loss:0.8062
[2024-10-10 13:10:50,377]::3947538980::DEBUG::Epoch: 5 , 1-MAE: 0.8481 , 1-Training Loss: 0.8292 , 1-val_avg_o_loss:0.8407 , 1-val_avg_c_loss:0.8442 , 1-val_avg_e_loss:0.8593 , 1-val_avg_a_loss:0.8362 , 1-val_avg_n_loss:0.8599
[2024-10-10 13:15:56,665]::3947538980::DEBUG::Epoch: 6 , 1-MAE: 0.8526 , 1-Training Loss: 0.8490 , 1-val_avg_o_loss:0.8649 , 1-val_avg_c_loss:0.8588 , 1-val_avg_e_loss:0.8108 , 1-val_avg_a_loss:0.8643 , 1-val_avg_n_loss:0.8639
[2024-10-10 13:21:08,744]::3947538980::DEBUG::Epoch: 7 , 1-MAE: 0.8759 , 1-Training Loss: 0.8664 , 1-val_avg_o_loss:0.8706 , 1-val_avg_c_loss:0.8711 , 1-val_avg_e_loss:0.8878 , 1-val_avg_a_loss:0.8665 , 1-val_avg_n_loss:0.8834
[2024-10-10 13:26:22,687]::3947538980::DEBUG::Epoch: 8 , 1-MAE: 0.8729 , 1-Training Loss: 0.8808 , 1-val_avg_o_loss:0.8786 , 1-val_avg_c_loss:0.8671 , 1-val_avg_e_loss:0.8942 , 1-val_avg_a_loss:0.8769 , 1-val_avg_n_loss:0.8475
[2024-10-10 13:31:36,690]::3947538980::DEBUG::Epoch: 9 , 1-MAE: 0.8853 , 1-Training Loss: 0.8898 , 1-val_avg_o_loss:0.8855 , 1-val_avg_c_loss:0.8811 , 1-val_avg_e_loss:0.8939 , 1-val_avg_a_loss:0.8854 , 1-val_avg_n_loss:0.8809
[2024-10-10 13:36:46,773]::3947538980::DEBUG::Epoch: 10 , 1-MAE: 0.8874 , 1-Training Loss: 0.8955 , 1-val_avg_o_loss:0.8836 , 1-val_avg_c_loss:0.8825 , 1-val_avg_e_loss:0.8963 , 1-val_avg_a_loss:0.8832 , 1-val_avg_n_loss:0.8914
[2024-10-10 13:41:57,085]::3947538980::DEBUG::Epoch: 11 , 1-MAE: 0.8872 , 1-Training Loss: 0.9013 , 1-val_avg_o_loss:0.8861 , 1-val_avg_c_loss:0.8843 , 1-val_avg_e_loss:0.8986 , 1-val_avg_a_loss:0.8765 , 1-val_avg_n_loss:0.8903
