[2024-03-21 20:56:51,801]::387438924::DEBUG::=============fullshot and ast+Video swin transformerTrain Strat!=============
[2024-03-21 21:41:24,980]::387438924::DEBUG::=============fullshot and ast+Video swin transformerTrain Strat!=============
[2024-03-21 21:43:12,147]::4015256608::DEBUG::Epoch: 1 , 1-MAE: 0.8799 , 1-val_avg_o_loss:0.8629 , 1-val_avg_c_loss:0.8915 , 1-val_avg_e_loss:0.8721 , 1-val_avg_a_loss:0.8759 , 1-val_avg_n_loss:0.8971
[2024-03-21 21:43:41,160]::4015256608::DEBUG::Epoch: 2 , 1-MAE: 0.8851 , 1-val_avg_o_loss:0.8505 , 1-val_avg_c_loss:0.8883 , 1-val_avg_e_loss:0.9053 , 1-val_avg_a_loss:0.8819 , 1-val_avg_n_loss:0.8995
[2024-03-21 21:44:10,696]::4015256608::DEBUG::Epoch: 3 , 1-MAE: 0.8943 , 1-val_avg_o_loss:0.8900 , 1-val_avg_c_loss:0.8959 , 1-val_avg_e_loss:0.9060 , 1-val_avg_a_loss:0.8858 , 1-val_avg_n_loss:0.8940
[2024-03-21 21:44:40,368]::4015256608::DEBUG::Epoch: 4 , 1-MAE: 0.8883 , 1-val_avg_o_loss:0.8914 , 1-val_avg_c_loss:0.8907 , 1-val_avg_e_loss:0.9059 , 1-val_avg_a_loss:0.8573 , 1-val_avg_n_loss:0.8962
[2024-03-21 21:45:11,434]::4015256608::DEBUG::Epoch: 5 , 1-MAE: 0.8957 , 1-val_avg_o_loss:0.8890 , 1-val_avg_c_loss:0.8940 , 1-val_avg_e_loss:0.9045 , 1-val_avg_a_loss:0.8897 , 1-val_avg_n_loss:0.9013
[2024-03-21 21:45:40,752]::4015256608::DEBUG::Epoch: 6 , 1-MAE: 0.8895 , 1-val_avg_o_loss:0.8797 , 1-val_avg_c_loss:0.8956 , 1-val_avg_e_loss:0.9010 , 1-val_avg_a_loss:0.8867 , 1-val_avg_n_loss:0.8846
[2024-03-21 21:46:10,049]::4015256608::DEBUG::Epoch: 7 , 1-MAE: 0.8929 , 1-val_avg_o_loss:0.8918 , 1-val_avg_c_loss:0.8973 , 1-val_avg_e_loss:0.8921 , 1-val_avg_a_loss:0.8839 , 1-val_avg_n_loss:0.8996
[2024-03-21 21:46:39,699]::4015256608::DEBUG::Epoch: 8 , 1-MAE: 0.8908 , 1-val_avg_o_loss:0.8915 , 1-val_avg_c_loss:0.8939 , 1-val_avg_e_loss:0.8992 , 1-val_avg_a_loss:0.8757 , 1-val_avg_n_loss:0.8938
[2024-03-21 21:47:09,000]::4015256608::DEBUG::Epoch: 9 , 1-MAE: 0.8926 , 1-val_avg_o_loss:0.8965 , 1-val_avg_c_loss:0.8912 , 1-val_avg_e_loss:0.9015 , 1-val_avg_a_loss:0.8845 , 1-val_avg_n_loss:0.8892
[2024-03-21 21:47:40,795]::4015256608::DEBUG::Epoch: 10 , 1-MAE: 0.8931 , 1-val_avg_o_loss:0.8929 , 1-val_avg_c_loss:0.8944 , 1-val_avg_e_loss:0.9012 , 1-val_avg_a_loss:0.8772 , 1-val_avg_n_loss:0.8996
[2024-03-21 21:48:10,394]::4015256608::DEBUG::Epoch: 11 , 1-MAE: 0.8888 , 1-val_avg_o_loss:0.8855 , 1-val_avg_c_loss:0.8842 , 1-val_avg_e_loss:0.8989 , 1-val_avg_a_loss:0.8803 , 1-val_avg_n_loss:0.8952
[2024-03-21 21:48:39,233]::4015256608::DEBUG::Epoch: 12 , 1-MAE: 0.8966 , 1-val_avg_o_loss:0.8910 , 1-val_avg_c_loss:0.8963 , 1-val_avg_e_loss:0.9063 , 1-val_avg_a_loss:0.8917 , 1-val_avg_n_loss:0.8975
[2024-03-21 21:49:08,600]::4015256608::DEBUG::Epoch: 13 , 1-MAE: 0.8949 , 1-val_avg_o_loss:0.8966 , 1-val_avg_c_loss:0.8960 , 1-val_avg_e_loss:0.9020 , 1-val_avg_a_loss:0.8895 , 1-val_avg_n_loss:0.8905
[2024-03-21 21:49:37,824]::4015256608::DEBUG::Epoch: 14 , 1-MAE: 0.8917 , 1-val_avg_o_loss:0.8827 , 1-val_avg_c_loss:0.8838 , 1-val_avg_e_loss:0.9055 , 1-val_avg_a_loss:0.8917 , 1-val_avg_n_loss:0.8949
[2024-03-21 21:50:08,844]::4015256608::DEBUG::Epoch: 15 , 1-MAE: 0.8951 , 1-val_avg_o_loss:0.8917 , 1-val_avg_c_loss:0.8934 , 1-val_avg_e_loss:0.9026 , 1-val_avg_a_loss:0.8892 , 1-val_avg_n_loss:0.8985
[2024-03-21 21:50:38,461]::4015256608::DEBUG::Epoch: 16 , 1-MAE: 0.8916 , 1-val_avg_o_loss:0.8909 , 1-val_avg_c_loss:0.8927 , 1-val_avg_e_loss:0.9016 , 1-val_avg_a_loss:0.8789 , 1-val_avg_n_loss:0.8940
[2024-03-21 21:51:07,901]::4015256608::DEBUG::Epoch: 17 , 1-MAE: 0.8971 , 1-val_avg_o_loss:0.8959 , 1-val_avg_c_loss:0.8963 , 1-val_avg_e_loss:0.9029 , 1-val_avg_a_loss:0.8901 , 1-val_avg_n_loss:0.9002
