[2024-03-20 11:32:04,047]::3435124833::DEBUG::=============fullshot and ast+Video swin transformerTrain Strat!=============
[2024-03-20 11:52:24,816]::3435124833::DEBUG::=============fullshot and ast+Video swin transformerTrain Strat!=============
[2024-03-20 11:58:42,210]::1133216937::DEBUG::Epoch: 1 , 1-MAE: 0.8676 , 1-val_avg_o_loss:0.8527 , 1-val_avg_c_loss:0.8778 , 1-val_avg_e_loss:0.8672 , 1-val_avg_a_loss:0.8582 , 1-val_avg_n_loss:0.8819
[2024-03-20 12:03:57,360]::1133216937::DEBUG::Epoch: 2 , 1-MAE: 0.8914 , 1-val_avg_o_loss:0.8841 , 1-val_avg_c_loss:0.8948 , 1-val_avg_e_loss:0.9038 , 1-val_avg_a_loss:0.8898 , 1-val_avg_n_loss:0.8845
[2024-03-20 12:09:12,909]::1133216937::DEBUG::Epoch: 3 , 1-MAE: 0.8989 , 1-val_avg_o_loss:0.8991 , 1-val_avg_c_loss:0.8980 , 1-val_avg_e_loss:0.9026 , 1-val_avg_a_loss:0.8917 , 1-val_avg_n_loss:0.9033
[2024-03-20 12:14:28,585]::1133216937::DEBUG::Epoch: 4 , 1-MAE: 0.8978 , 1-val_avg_o_loss:0.8960 , 1-val_avg_c_loss:0.8957 , 1-val_avg_e_loss:0.9086 , 1-val_avg_a_loss:0.8919 , 1-val_avg_n_loss:0.8970
[2024-03-20 12:19:45,303]::1133216937::DEBUG::Epoch: 5 , 1-MAE: 0.8935 , 1-val_avg_o_loss:0.9044 , 1-val_avg_c_loss:0.8812 , 1-val_avg_e_loss:0.9069 , 1-val_avg_a_loss:0.8719 , 1-val_avg_n_loss:0.9032
[2024-03-20 12:24:59,990]::1133216937::DEBUG::Epoch: 6 , 1-MAE: 0.9033 , 1-val_avg_o_loss:0.9021 , 1-val_avg_c_loss:0.9019 , 1-val_avg_e_loss:0.9103 , 1-val_avg_a_loss:0.8963 , 1-val_avg_n_loss:0.9059
[2024-03-20 12:30:14,577]::1133216937::DEBUG::Epoch: 7 , 1-MAE: 0.9052 , 1-val_avg_o_loss:0.9037 , 1-val_avg_c_loss:0.9032 , 1-val_avg_e_loss:0.9106 , 1-val_avg_a_loss:0.9028 , 1-val_avg_n_loss:0.9057
[2024-03-20 12:35:29,580]::1133216937::DEBUG::Epoch: 8 , 1-MAE: 0.9017 , 1-val_avg_o_loss:0.9057 , 1-val_avg_c_loss:0.8929 , 1-val_avg_e_loss:0.9106 , 1-val_avg_a_loss:0.8957 , 1-val_avg_n_loss:0.9037
[2024-03-20 12:40:44,484]::1133216937::DEBUG::Epoch: 9 , 1-MAE: 0.9043 , 1-val_avg_o_loss:0.9055 , 1-val_avg_c_loss:0.8975 , 1-val_avg_e_loss:0.9085 , 1-val_avg_a_loss:0.9047 , 1-val_avg_n_loss:0.9053
[2024-03-20 12:46:01,718]::1133216937::DEBUG::Epoch: 10 , 1-MAE: 0.9059 , 1-val_avg_o_loss:0.9063 , 1-val_avg_c_loss:0.9039 , 1-val_avg_e_loss:0.9113 , 1-val_avg_a_loss:0.9038 , 1-val_avg_n_loss:0.9040
[2024-03-20 12:51:16,522]::1133216937::DEBUG::Epoch: 11 , 1-MAE: 0.9035 , 1-val_avg_o_loss:0.9053 , 1-val_avg_c_loss:0.8947 , 1-val_avg_e_loss:0.9117 , 1-val_avg_a_loss:0.8994 , 1-val_avg_n_loss:0.9063
[2024-03-20 12:56:31,264]::1133216937::DEBUG::Epoch: 12 , 1-MAE: 0.9069 , 1-val_avg_o_loss:0.9086 , 1-val_avg_c_loss:0.9032 , 1-val_avg_e_loss:0.9107 , 1-val_avg_a_loss:0.9055 , 1-val_avg_n_loss:0.9063
[2024-03-20 13:01:46,181]::1133216937::DEBUG::Epoch: 13 , 1-MAE: 0.9075 , 1-val_avg_o_loss:0.9095 , 1-val_avg_c_loss:0.9025 , 1-val_avg_e_loss:0.9118 , 1-val_avg_a_loss:0.9054 , 1-val_avg_n_loss:0.9080
[2024-03-20 13:07:01,555]::1133216937::DEBUG::Epoch: 14 , 1-MAE: 0.9082 , 1-val_avg_o_loss:0.9102 , 1-val_avg_c_loss:0.9018 , 1-val_avg_e_loss:0.9122 , 1-val_avg_a_loss:0.9077 , 1-val_avg_n_loss:0.9093
[2024-03-20 13:12:19,231]::1133216937::DEBUG::Epoch: 15 , 1-MAE: 0.9099 , 1-val_avg_o_loss:0.9102 , 1-val_avg_c_loss:0.9058 , 1-val_avg_e_loss:0.9127 , 1-val_avg_a_loss:0.9100 , 1-val_avg_n_loss:0.9108
